"clause_number","sequence","section","clause_key","heading","opening_words","always_prints","prints_when_plain_english","prints_when_raw_gate","fields_it_asks_for","depends_on","dependency_class","protective_note","keep_cut"
"13.11","99","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.MORT_DEDR_SPLITC","","The deductible shall be split between the parties: … paid by Lessor and … paid by Lessee.","no","“Mortality insurance is not required for or by either party under this Agreement.” is “NO” or left blank and “Deductible responsibility” is “Split” and “Lessor” is “Has and will maintain” or “Will obtain and will maintain”; or “Lessee” is “Has and will maintain” or “Will obtain and will maintain”","{""all"":[{""equals"":[""NO"",""""],""field_key"":""TXN.MORT_NOT_REQUIRED""},{""equals"":[""SPLIT""],""field_key"":""TXN.MORT_DED_RESP""},{""any"":[{""equals"":[""HAS_WILL_MAINTAIN"",""WILL_OBTAIN""],""field_key"":""TXN.MORT_LESSOR_STATUS""},{""equals"":[""HAS_WILL_MAINTAIN"",""WILL_OBTAIN""],""field_key"":""TXN.MORT_LESSEE_STATUS""}]}]}","“Deductible split — paid by Lessor” — only if “Mortality insurance is not required for or by either party under this Agreement.” is “NO” or left blank and “Deductible responsibility” is “Split” | “Deductible split — paid by Lessee” — only if “Mortality insurance is not required for or by either party under this Agreement.” is “NO” or left blank and “Deductible responsibility” is “Split”","Turned on by “Mortality insurance is not required for or by either party under this Agreement.”, asked in §13.8 — cut that clause and this one falls back on whatever answers remain. | Turned on by “Deductible responsibility”, asked in §13.10 — cut that clause and this one stops printing for good. | Turned on by “Lessor”, asked in §13.9 — cut that clause and this one falls back on whatever answers remain. | Turned on by “Lessee”, asked in §13.9 — cut that clause and this one falls back on whatever answers remain.","standalone","",""
"13.12","100","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.MORT_NONE","","Lessor has elected not to require mortality insurance under this Agreement. Lessor accepts full risk and responsibility for the loss …","no","“Mortality insurance is not required for or by either party under this Agreement.” is “YES”","{""equals"":[""YES""],""field_key"":""TXN.MORT_NOT_REQUIRED""}","— nothing","PROTECTIVE. Same for mortality: Lessor expressly accepts loss of the Horse’s value. | Turned on by “Mortality insurance is not required for or by either party under this Agreement.”, asked in §13.8 — cut that clause and this one stops printing for good.","PROTECTIVE","Same for mortality: Lessor expressly accepts loss of the Horse’s value.",""
"13.13","101","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.MORT_LESSEE_RESP","Mortality — Lessee Responsibility","Lessee has elected to accept, and hereby accepts, financial responsibility for mortality insurance under this Agreement. Lessee shall obtain and …","no","“The Lessee accepts financial responsibility for mortality insurance under this Agreement.” is “YES”","{""equals"":[""YES""],""field_key"":""TXN.MORT_LESSEE_RESPONSIBLE""}","“The Lessee accepts financial responsibility for mortality insurance under this Agreement.” — only if “Lessor” is “Does not have and will not obtain” and “Lessee” is “Does not have and will not obtain” and “Mortality insurance is not required for or by either party under this Agreement.” is “NO” or left blank","PROTECTIVE. Same for mortality.","PROTECTIVE","Same for mortality.",""
"13.14","102","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.MEDICAL","Medical Insurance","(no printed text — the “Medical Insurance” question only)","yes","always","","“Medical insurance is not required for or by either party under this Agreement.”","Cut → the question “Medical insurance is not required for or by either party under this Agreement.” goes with it, and 1 clause (§13.15) stops printing for good. | Cut → the question “Medical insurance is not required for or by either party under this Agreement.” goes with it, and 2 clauses (§13.17, §13.20) and 3 questions (“Lessor”, “Lessee”, “Deductible responsibility”) print in every lease from then on. | Cut → the question “Medical insurance is not required for or by either party under this Agreement.” goes with it, and 2 clauses (§13.18, §13.19) and 3 questions (“The Lessee accepts financial responsibility for medical insurance under this Agreement.”, “Deductible split — paid by Lessor”, “Deductible split — paid by Lessee”) fall back on whatever answers remain.","DEPENDED-UPON","",""
"13.15","103","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.MED_NONE","","Lessor has elected not to maintain medical insurance on the Horse. Lessor accepts full risk and responsibility for any and …","no","“Medical insurance is not required for or by either party under this Agreement.” is “YES”","{""equals"":[""YES""],""field_key"":""TXN.MED_NOT_REQUIRED""}","— nothing","PROTECTIVE. Same for medical: Lessor expressly accepts injury and illness costs. | This clause points at §12.3 in prose — “except as otherwise expressly allocated in the Horse Care and Expenses section”. | This clause points at §12.5 in prose — that section’s actual allocations live in §12.5. | This clause points at §12.6 in prose — and §12.6. | Turned on by “Medical insurance is not required for or by either party under this Agreement.”, asked in §13.14 — cut that clause and this one stops printing for good.","PROTECTIVE","Same for medical: Lessor expressly accepts injury and illness costs.",""
"13.16","104","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.MED_LESSEE_RESP","Medical — Lessee Responsibility","Lessee has elected to accept, and hereby accepts, financial responsibility for medical insurance under this Agreement. Lessee shall obtain and …","no","“The Lessee accepts financial responsibility for medical insurance under this Agreement.” is “YES”","{""equals"":[""YES""],""field_key"":""TXN.MED_LESSEE_RESPONSIBLE""}","“The Lessee accepts financial responsibility for medical insurance under this Agreement.” — only if “Lessor” is “Does not have and will not obtain” and “Lessee” is “Does not have and will not obtain” and “Medical insurance is not required for or by either party under this Agreement.” is “NO” or left blank","PROTECTIVE. Same for medical. | This clause points at §12.3 in prose — same words, same reference. | This clause points at §12.5 in prose — same. | This clause points at §12.6 in prose — same.","PROTECTIVE","Same for medical.",""
"13.17","105","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.MED_STATUS","","Lessor: … medical insurance on the Horse. Lessee: … medical insurance on the Horse.","no","“Medical insurance is not required for or by either party under this Agreement.” is “NO” or left blank","{""equals"":[""NO"",""""],""field_key"":""TXN.MED_NOT_REQUIRED""}","“Lessor” [required] — only if “Medical insurance is not required for or by either party under this Agreement.” is “NO” or left blank | “Lessee” [required] — only if “Medical insurance is not required for or by either party under this Agreement.” is “NO” or left blank","Cut → the question “Lessor” goes with it, and 1 question (“The Lessee accepts financial responsibility for medical insurance under this Agreement.”) stops printing for good. | Cut → the question “Lessee” goes with it, and 1 question (“The Lessee accepts financial responsibility for medical insurance under this Agreement.”) stops printing for good. | Cut → the question “Lessor” goes with it, and 2 clauses (§13.18, §13.19) fall back on whatever answers remain. | Cut → the question “Lessee” goes with it, and 2 clauses (§13.18, §13.19) fall back on whatever answers remain. | Carries required fields “Lessor”, “Lessee” — cutting the clause removes them from the signing checks. | Turned on by “Medical insurance is not required for or by either party under this Agreement.”, asked in §13.14 — cut that clause and this one prints in every lease from then on.","DEPENDED-UPON","",""
"13.18","106","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.MED_DEDR_SIMPLE","","If a claim is made under any such policy arising from events for which Lessee bears responsibility, whether directly or …","no","“Medical insurance is not required for or by either party under this Agreement.” is “NO” or left blank and “Lessor” is “Has and will maintain” or “Will obtain and will maintain”; or “Lessee” is “Has and will maintain” or “Will obtain and will maintain”","{""all"":[{""equals"":[""NO"",""""],""field_key"":""TXN.MED_NOT_REQUIRED""},{""any"":[{""equals"":[""HAS_WILL_MAINTAIN"",""WILL_OBTAIN""],""field_key"":""TXN.MED_LESSOR_STATUS""},{""equals"":[""HAS_WILL_MAINTAIN"",""WILL_OBTAIN""],""field_key"":""TXN.MED_LESSEE_STATUS""}]}]}","“Deductible responsibility” [required] — only if “Medical insurance is not required for or by either party under this Agreement.” is “NO” or left blank","Cut → the question “Deductible responsibility” goes with it, and 1 clause (§13.19) and 2 questions (“Deductible split — paid by Lessor”, “Deductible split — paid by Lessee”) stop printing for good. | Carries required field “Deductible responsibility” — cutting the clause removes it from the signing checks. | Turned on by “Medical insurance is not required for or by either party under this Agreement.”, asked in §13.14 — cut that clause and this one falls back on whatever answers remain. | Turned on by “Lessor”, asked in §13.17 — cut that clause and this one falls back on whatever answers remain. | Turned on by “Lessee”, asked in §13.17 — cut that clause and this one falls back on whatever answers remain.","DEPENDED-UPON","",""
"13.19","107","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.MED_DEDR_SPLITC","","The deductible shall be split between the parties: … paid by Lessor and … paid by Lessee.","no","“Medical insurance is not required for or by either party under this Agreement.” is “NO” or left blank and “Deductible responsibility” is “Split” and “Lessor” is “Has and will maintain” or “Will obtain and will maintain”; or “Lessee” is “Has and will maintain” or “Will obtain and will maintain”","{""all"":[{""equals"":[""NO"",""""],""field_key"":""TXN.MED_NOT_REQUIRED""},{""equals"":[""SPLIT""],""field_key"":""TXN.MED_DED_RESP""},{""any"":[{""equals"":[""HAS_WILL_MAINTAIN"",""WILL_OBTAIN""],""field_key"":""TXN.MED_LESSOR_STATUS""},{""equals"":[""HAS_WILL_MAINTAIN"",""WILL_OBTAIN""],""field_key"":""TXN.MED_LESSEE_STATUS""}]}]}","“Deductible split — paid by Lessor” — only if “Medical insurance is not required for or by either party under this Agreement.” is “NO” or left blank and “Deductible responsibility” is “Split” | “Deductible split — paid by Lessee” — only if “Medical insurance is not required for or by either party under this Agreement.” is “NO” or left blank and “Deductible responsibility” is “Split”","Turned on by “Medical insurance is not required for or by either party under this Agreement.”, asked in §13.14 — cut that clause and this one falls back on whatever answers remain. | Turned on by “Deductible responsibility”, asked in §13.18 — cut that clause and this one stops printing for good. | Turned on by “Lessor”, asked in §13.17 — cut that clause and this one falls back on whatever answers remain. | Turned on by “Lessee”, asked in §13.17 — cut that clause and this one falls back on whatever answers remain.","standalone","",""
"13.20","108","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.MED_TAIL","","Any out-of-pocket costs for deductibles or other expenses related to the needs of the Horse are to be paid by …","no","“Medical insurance is not required for or by either party under this Agreement.” is “NO” or left blank","{""equals"":[""NO"",""""],""field_key"":""TXN.MED_NOT_REQUIRED""}","— nothing","PROTECTIVE. Sweeps every uninsured, denied, underpaid or out-of-policy cost onto the Lessor. The residual-risk backstop for the whole insurance section. | This clause points at §8.1 in prose — “in accordance with the acceptable payment methods stated in this Agreement”. | This clause points at §7.2 in prose — the reimbursement it describes is conditioned on a receipt by §7.2. | Requires something in writing — what that means is set by §15.1, not here. | Turned on by “Medical insurance is not required for or by either party under this Agreement.”, asked in §13.14 — cut that clause and this one prints in every lease from then on.","PROTECTIVE","Sweeps every uninsured, denied, underpaid or out-of-policy cost onto the Lessor. The residual-risk backstop for the whole insurance section.",""
"13.21","109","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.CCC","Care, Custody and Control Insurance","Lessee shall obtain and maintain, for the duration of this Agreement, care, custody and control insurance covering the Horse while …","no","“Lessee is an” is “Entity / organization”","{""equals"":[""ENTITY""],""field_key"":""LESSEE.PARTY_TYPE""}","— nothing","PROTECTIVE. Requires an entity Lessee to carry care, custody and control cover at fair market value, and makes failure a for-cause breach. | §13.22 points at this clause in prose — “Lessee’s care, custody and control insurance is secondary” — describes the policy §13.21 requires. | This clause points at §14.3 in prose — “a material breach subject to the Termination for Cause provisions”. | This clause points at §3.1 in prose — prints {{HORSE.FAIR_MARKET_VALUE}} as the required death-benefit limit. | Turned on by “Lessee is an”, asked in §1.1 — cut that clause and this one stops printing for good.","PROTECTIVE + DEPENDED-UPON","Requires an entity Lessee to carry care, custody and control cover at fair market value, and makes failure a for-cause breach.",""
"13.22","110","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.COORDINATION","Coordination of Coverage","Lessor bears responsibility for loss of, injury to, or death of the Horse, and Lessor's mortality insurance shall be the …","no","“Mortality insurance is not required for or by either party under this Agreement.” is “NO” or left blank and “Lessee is an” is “Entity / organization”","{""all"":[{""equals"":[""NO"",""""],""field_key"":""TXN.MORT_NOT_REQUIRED""},{""equals"":[""ENTITY""],""field_key"":""LESSEE.PARTY_TYPE""}]}","— nothing","PROTECTIVE. Sets which policy responds first and who bears the deductible. Without it two policies exist with no ordering. | This clause points at §13.21 in prose — “Lessee’s care, custody and control insurance is secondary” — describes the policy §13.21 requires. | This clause points at §13.9 in prose — “Lessor’s mortality insurance shall be the first policy noticed”. | Turned on by “Mortality insurance is not required for or by either party under this Agreement.”, asked in §13.8 — cut that clause and this one falls back on whatever answers remain. | Turned on by “Lessee is an”, asked in §1.1 — cut that clause and this one stops printing for good.","PROTECTIVE","Sets which policy responds first and who bears the deductible. Without it two policies exist with no ordering.",""
"13.23","111","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.RISK_OF_LOSS","Risk of Loss of or Injury to the Horse","Lessor assumes all risk of loss of or injury to the Horse during the term of this Agreement, except to …","yes","always","","— nothing","PROTECTIVE. Lessor bears all risk of loss of or injury to the Horse except for Lessee’s gross negligence. The core risk allocation of the lease.","PROTECTIVE","Lessor bears all risk of loss of or injury to the Horse except for Lessee’s gross negligence. The core risk allocation of the lease.",""
"13.24","112","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.LOSS_OF_USE_ACK","Loss of Use","Lessor acknowledges and accepts that loss of use of the Horse may result from injury to, illness of, or the …","yes","always","","— nothing","PROTECTIVE. Lessor’s acknowledgement that no loss-of-use cover exists. Forecloses a later loss-of-use claim. | This clause points at §14.5 in prose — the loss of use it accepts is what §14.5 makes terminable.","PROTECTIVE","Lessor’s acknowledgement that no loss-of-use cover exists. Forecloses a later loss-of-use claim.",""
"13.25","113","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.ASSUMPTION_INHERENT","Assumption of Inherent Risks","Lessee understands that horseback riding and handling horses are inherently dangerous activities. Lessee acknowledges that horses are unpredictable by nature …","yes","always","","— nothing","PROTECTIVE. Primary assumption of risk under Knight v. Jewett and Levinson v. Owens, with the express acknowledgement that no Lessor Party owes a duty as to inherent risks. California has no equine activity statute; this clause and §13.26 are the substitute. | §14.6 points at this clause in prose — names “assumptions of risk” — this is what survives.","PROTECTIVE + DEPENDED-UPON","Primary assumption of risk under Knight v. Jewett and Levinson v. Owens, with the express acknowledgement that no Lessor Party owes a duty as to inherent risks. California has no equine activity statute; this clause and §13.26 are the substitute.",""
"13.26","114","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.RELEASE","Release of Liability","In consideration for being permitted to handle or ride the Horse, Lessee, on behalf of Lessee and anyone claiming by, …","yes","always","","— nothing","PROTECTIVE. The Lessee’s release of the Lessor Parties for ordinary negligence. The single most protective clause in the document. | §2.8 points at this clause in prose — makes the releases enforceable by non-signatories. | §14.6 points at this clause in prose — names “releases”.","PROTECTIVE + DEPENDED-UPON","The Lessee’s release of the Lessor Parties for ordinary negligence. The single most protective clause in the document.",""
"13.27","115","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.RELEASE_LESSOR","Release of Liability by Lessor","In consideration of the mutual promises in this Agreement, Lessor, on behalf of Lessor and anyone claiming by, through, or …","yes","always","","— nothing","PROTECTIVE. The mirror release by the Lessor. Cutting it makes the release one-sided, which weakens the consideration argument for §13.26 as well as removing the Lessee’s protection. | §14.6 points at this clause in prose — names “releases”. | This clause points at §3.15 in prose — “any facility where the Horse is kept during the term of this Agreement”.","PROTECTIVE + DEPENDED-UPON","The mirror release by the Lessor. Cutting it makes the release one-sided, which weakens the consideration argument for §13.26 as well as removing the Lessee’s protection.",""
"13.28","116","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.SAFETY_ATTIRE","Required Protective Attire","Lessee shall wear, and shall ensure that any other person riding the Horse under Lessee's authorization wears, an appropriately fitted …","yes","always","","— nothing","PROTECTIVE. Helmet and attire requirement, assumption of the increased risk of not wearing it, and automatic revocation of permission to ride. Both a safety control and an evidentiary one. | This clause points at §14.3 in prose — “constitutes a material breach of this Agreement”. | Requires something in writing — what that means is set by §15.1, not here.","PROTECTIVE","Helmet and attire requirement, assumption of the increased risk of not wearing it, and automatic revocation of permission to ride. Both a safety control and an evidentiary one.",""
"13.29","117","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.TRAIL_RIDING","Trail Riding Risks","Lessee acknowledges that riding outside an enclosed arena, including trail riding, exposes Lessee and the Horse to additional risks, including …","no","“Permitted activities” includes “Trail Riding”","{""contains"":[""TRAIL""],""field_key"":""TXN.PERMITTED_ACTIVITIES""}","— nothing","PROTECTIVE. Express assumption of the specific added risks of trail riding. Inherent-risk doctrine is strongest where the specific risk was named. | Turned on by “Permitted activities”, asked in §11.1 — cut that clause and this one stops printing for good.","PROTECTIVE","Express assumption of the specific added risks of trail riding. Inherent-risk doctrine is strongest where the specific risk was named.",""
"13.30","118","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.JUMPING_RISKS","Jumping Risks","Lessee acknowledges that jumping the Horse exposes Lessee and the Horse to additional risks beyond flat riding, including refusals, run-outs, …","no","“Permitted activities” includes “Jumping”","{""contains"":[""JUMPING""],""field_key"":""TXN.PERMITTED_ACTIVITIES""}","— nothing","PROTECTIVE. Same, for jumping. | Turned on by “Permitted activities”, asked in §11.1 — cut that clause and this one stops printing for good.","PROTECTIVE","Same, for jumping.",""
"13.31","119","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.COMPETITION_RISKS","Competition Risks","Lessee acknowledges that competing with the Horse exposes Lessee and the Horse to additional risks, including unfamiliar and crowded show …","no","“Permitted activities” includes “Competitions”","{""contains"":[""COMPETITIONS""],""field_key"":""TXN.PERMITTED_ACTIVITIES""}","— nothing","PROTECTIVE. Same, for competition. | Turned on by “Permitted activities”, asked in §11.1 — cut that clause and this one stops printing for good.","PROTECTIVE","Same, for competition.",""
"13.32","120","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.SHARED_ARENA_RISKS","Shared Arena Riding Risks","Lessee acknowledges that riding in an arena at the same time as other riders exposes Lessee and the Horse to …","no","“Permitted activities” includes “Group Arena Riding”","{""contains"":[""ARENA_GROUP""],""field_key"":""TXN.PERMITTED_ACTIVITIES""}","— nothing","PROTECTIVE. Same, for riding in a shared arena. | Turned on by “Permitted activities”, asked in §11.1 — cut that clause and this one stops printing for good.","PROTECTIVE","Same, for riding in a shared arena.",""
"13.33","121","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.WAIVER_UNKNOWN","Waiver of Unknown Claims","Each party, on behalf of itself and anyone claiming by, through, or under it, expressly waives any and all claims …","yes","always","","— nothing","PROTECTIVE. California Civil Code §1542 waiver of unknown claims. Without an express §1542 waiver a general release does not reach claims the releasing party did not know about — which is most injury claims, since they arise after signing. | §14.6 points at this clause in prose — names “waivers”.","PROTECTIVE + DEPENDED-UPON","California Civil Code §1542 waiver of unknown claims. Without an express §1542 waiver a general release does not reach claims the releasing party did not know about — which is most injury claims, since they arise after signing.",""
"13.34","122","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.INDEMNIFICATION","Mutual Indemnification","Each party shall indemnify, defend, and hold harmless the other party and, respectively, the Lessor Parties or the Lessee Parties, …","yes","always","","— nothing","PROTECTIVE. Mutual indemnity and defence obligation. The mechanism that pays for defending a third-party claim. | §2.8 points at this clause in prose — same. | §13.35 points at this clause in prose — “either party’s indemnification obligations” is carved out of the cap. | §14.6 points at this clause in prose — names “indemnities”.","PROTECTIVE + DEPENDED-UPON","Mutual indemnity and defence obligation. The mechanism that pays for defending a third-party claim.",""
"13.35","123","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.LIMITATION","Limitation of Liability","Under no circumstances shall either party be liable to the other for any special, consequential, incidental, or punitive damages arising …","yes","always","","— nothing","PROTECTIVE. Excludes consequential and punitive damages and caps aggregate liability at the Horse’s fair market value. | §2.8 points at this clause in prose — same. | §14.6 points at this clause in prose — names “limitations of liability”. | This clause points at §13.34 in prose — “either party’s indemnification obligations” is carved out of the cap. | This clause points at §3.1 in prose — the cap is {{HORSE.FAIR_MARKET_VALUE}}.","PROTECTIVE + DEPENDED-UPON","Excludes consequential and punitive damages and caps aggregate liability at the Horse’s fair market value.",""
"14.1","124","14. Termination","TERMINATION.LESSEE","Lessee's Right to Terminate","Lessee may terminate this Agreement by giving Lessor at least … days' prior written notice.","yes","always","","“Days notice”","§10.5 points at this clause in prose — “as provided in the Termination section” — §14 as a whole. | Requires something in writing — what that means is set by §15.1, not here.","DEPENDED-UPON","",""
"14.2","125","14. Termination","TERMINATION.OWNER","Owner's Right to Terminate","Lessor may terminate this Agreement by giving Lessee at least … days' prior written notice.","yes","always","","“Days notice”","§10.5 points at this clause in prose — same. | Requires something in writing — what that means is set by §15.1, not here.","DEPENDED-UPON","",""
"14.3","126","14. Termination","TERMINATION.CAUSE","Termination for Cause","Either party may terminate this Agreement for cause (including a material breach that remains uncured) by giving the other party …","yes","always","","“Days notice”","PROTECTIVE. The for-cause termination right. Four other clauses (§7.3, §13.21, §13.28 and §10.5) point at it as the consequence of breach. | Defines “Termination for Cause”, used in §7.3, §13.21. | §7.3 points at this clause in prose — “grounds for termination for cause under the Termination for Cause provisions”. | §10.5 points at this clause in prose — same. | §13.21 points at this clause in prose — “a material breach subject to the Termination for Cause provisions”. | §13.28 points at this clause in prose — “constitutes a material breach of this Agreement”. | Requires something in writing — what that means is set by §15.1, not here.","PROTECTIVE + DEPENDED-UPON","The for-cause termination right. Four other clauses (§7.3, §13.21, §13.28 and §10.5) point at it as the consequence of breach.",""
"14.4","127","14. Termination","TERMINATION.LOSS","Self-Termination upon Loss or Injury","This Agreement shall self-terminate if the Horse is significantly injured or seriously ill as determined by a licensed veterinarian, or …","yes","always","","— nothing","PROTECTIVE. Self-termination on serious injury, illness or death, with a prorated refund of the Lease Fee — and the forfeiture of that refund where the Lessee caused the loss by gross negligence. | This clause points at §6.1 in prose — “a prorated refund of Lease Fee paid”.","PROTECTIVE","Self-termination on serious injury, illness or death, with a prorated refund of the Lease Fee — and the forfeiture of that refund where the Lessee caused the loss by gross negligence.",""
"14.5","128","14. Termination","TERMINATION.LOSS_OF_USE","Termination upon Loss of Use","If the Horse becomes unusable for the purposes of this Agreement for any reason, Lessee may terminate this Agreement immediately …","yes","always","","— nothing","PROTECTIVE. The Lessee’s immediate exit and prorated refund if the Horse becomes unusable for any reason. The Lessee’s only remedy for a horse that cannot do the job. | §13.24 points at this clause in prose — the loss of use it accepts is what §14.5 makes terminable. | This clause points at §6.1 in prose — same. | Requires something in writing — what that means is set by §15.1, not here.","PROTECTIVE + DEPENDED-UPON","The Lessee’s immediate exit and prorated refund if the Horse becomes unusable for any reason. The Lessee’s only remedy for a horse that cannot do the job.",""
"14.6","129","14. Termination","TERMINATION.SURVIVAL","Survival","The releases, waivers, assumptions of risk, indemnities, and limitations of liability in this Agreement, and any payment obligations accrued before …","yes","always","","— nothing","PROTECTIVE. Keeps the releases, waivers, assumptions of risk, indemnities and limitations alive after the lease ends. Injury claims are usually brought after termination; without this clause the protections arguably expire with the lease. | This clause points at §13.25 in prose — names “assumptions of risk” — this is what survives. | This clause points at §13.26 in prose — names “releases”. | This clause points at §13.27 in prose — names “releases”. | This clause points at §13.33 in prose — names “waivers”. | This clause points at §13.34 in prose — names “indemnities”. | This clause points at §13.35 in prose — names “limitations of liability”.","PROTECTIVE","Keeps the releases, waivers, assumptions of risk, indemnities and limitations alive after the lease ends. Injury claims are usually brought after termination; without this clause the protections arguably expire with the lease.",""
"15.1","130","15. Notice and Contact Information","NOTICE.FORM","Form of Notice","Any notice required or permitted under this Agreement shall be in writing and delivered by a method that provides evidence …","yes","always","","— nothing","PROTECTIVE. Says what written notice is, how it must be delivered, and that email alone does not count unless acknowledged. Every notice period, termination right and written-consent requirement in the lease resolves through this clause. | 19 clauses require something “in writing” or by “written notice” and resolve through this one: §3.18, §5.3, §7.3, §9.2, §9.3, §11.1, §11.21, §12.1, §12.2, §13.20, §13.28, §14.1, §14.2, §14.3, §14.5, §15.4, §16.1, §17.1, §18.1. | This clause points at §15.2 in prose — “to the party at the contact information below”. | This clause points at §15.3 in prose — same.","PROTECTIVE + DEPENDED-UPON","Says what written notice is, how it must be delivered, and that email alone does not count unless acknowledged. Every notice period, termination right and written-consent requirement in the lease resolves through this clause.",""
"15.2","131","15. Notice and Contact Information","NOTICE.LESSEE_ADDRESS","Lessee","Name: … Address: … Phone: … Email: …","yes","always","","— nothing","§15.1 points at this clause in prose — “to the party at the contact information below”. | §15.4 points at this clause in prose — keeps the §15.2 block current.","DEPENDED-UPON","",""
"15.3","132","15. Notice and Contact Information","NOTICE.LESSOR_ADDRESS","Lessor","Name: … Address: … Phone: … Email: …","yes","always","","— nothing","§15.1 points at this clause in prose — same. | §15.4 points at this clause in prose — keeps the §15.3 block current.","DEPENDED-UPON","",""
"15.4","133","15. Notice and Contact Information","NOTICE.CHANGES","Changes in Contact Information","Each party shall promptly notify the other party in writing of any change in the party's address or contact information.","yes","always","","— nothing","This clause points at §15.2 in prose — keeps the §15.2 block current. | This clause points at §15.3 in prose — keeps the §15.3 block current. | Requires something in writing — what that means is set by §15.1, not here.","standalone","",""
"16.1","134","16. Assignment or Transfer","ASSIGNMENT.NO_ASSIGN","Assignment or Transfer","Lessee shall not assign, sublease, or otherwise transfer this Agreement or any of Lessee's rights or obligations under it without …","yes","always","","— nothing","PROTECTIVE. Stops the Lessee handing the Horse on to someone who has signed nothing. | Requires something in writing — what that means is set by §15.1, not here.","PROTECTIVE","Stops the Lessee handing the Horse on to someone who has signed nothing.",""
"17.1","135","17. Entire Agreement","ENTIRE_AGREEMENT.INTEGRATION","Entire Agreement","This Agreement contains the entire agreement between the parties with respect to its subject matter and supersedes all prior discussions …","yes","always","","— nothing","PROTECTIVE. Integration clause plus written-modification requirement. Excludes side conversations and oral variations. | Requires something in writing — what that means is set by §15.1, not here.","PROTECTIVE","Integration clause plus written-modification requirement. Excludes side conversations and oral variations.",""
"18.1","136","18. Governing Law and Venue","GOVERNING_LAW.CHOICE","Governing Law and Venue","This Agreement is governed by the laws of the State of California, without regard to conflict-of-laws principles. Any dispute arising …","yes","always","","— nothing","PROTECTIVE. California law, JAMS arbitration in San Diego County, small-claims and injunctive carve-outs. Cutting it puts disputes in open court under whatever forum rules apply. | This clause points at §3.18 in prose — “including recovery of possession of the Horse” — the repossession right §3.18 grants. | Requires something in writing — what that means is set by §15.1, not here.","PROTECTIVE","California law, JAMS arbitration in San Diego County, small-claims and injunctive carve-outs. Cutting it puts disputes in open court under whatever forum rules apply.",""
"19.1","137","19. Attorneys' Fees","ATTORNEYS_FEES.PREVAILING","Attorneys' Fees","Each party shall cover their own attorney's fees and costs.","yes","always","","— nothing","PROTECTIVE. Each side bears its own fees. This matches the California default, so cutting it changes little — but it also forecloses an argument for fee-shifting.","PROTECTIVE","Each side bears its own fees. This matches the California default, so cutting it changes little — but it also forecloses an argument for fee-shifting.",""
"20.1","138","20. Severability","SEVERABILITY.SAVING","Severability","If any provision of this Agreement is held to be invalid or unenforceable, the remaining provisions shall continue in full …","yes","always","","— nothing","PROTECTIVE. Keeps the rest of the agreement alive, and allows blue-pencilling, if a release or waiver is held unenforceable. The safety net under every protective clause above.","PROTECTIVE","Keeps the rest of the agreement alive, and allows blue-pencilling, if a release or waiver is held unenforceable. The safety net under every protective clause above.",""
"21.1","139","21. Lessee's Representations","LESSEE_REPS.PENDING","Lessee's Representations","[Pending — select whether Lessee is an individual or an entity. This placeholder is replaced by the applicable representations and …","no","“Lessee is an” is left blank","{""equals"":[""""],""field_key"":""LESSEE.PARTY_TYPE""}","— nothing","Turned on by “Lessee is an”, asked in §1.1 — cut that clause and this one prints in every lease from then on.","standalone","",""
